sentence,label
engine repair ma ramro lagyo,positive
battery service professional cha tara nikamma cha,negative
engine repair no response,negative
car servicing ma dhanyabad experience bhayo,positive
billing system dherai majja lagyo,positive
yo servicing chor chaina,positive
maintenance service ekdam average cha,neutral
service cost poor cha,negative
repair cost ma fake parts,negative
MERO CAR CONDITION PURA RUDE CHAINA,positive
yo place dherai okay lagyo,neutral
yo technician good cha tara ghatiya cha,negative
maintenance service thikkai chha,neutral
waiting time fraud thiyo tara ramro bhayo,positive
replacement parts useless thiyo tara sifaris bhayo,positive
ENGINE CONDITION RAAMRO THIYO TARA RUBBISH BHAYO,negative
service cost fast cha tara slow cha,negative
engine condition careless bhaena,positive
malai bill amount bigreko lagyo,negative
malai bike servicing majja lagyo,positive
Staff haru ramro lagyo,positive
yo servicing ko quality risaune cha,negative
delivery time mahango bhaena,positive
"parts quality reliable pani cha, angry pani cha",neutral
car servicing thag cha tara sifaris cha,positive
malai yo price nice lagena,negative
parts quality use garda okay feel bhayo,neutral
engine condition lastai samanya chha,neutral
yo price ma dami experience bhayo,positive
yo servicing center ko barema ramro bhayena,negative
billing system thik bhayo,positive
BIKE SERVICING MA NORMAL EXPERIENCE BHAYO,neutral
yo bill ma value for money,positive
yo bill dhila chha,negative
Yo servicing center waste of money,negative
parts replacement dherai ok lagyo,neutral
tyre condition lastai bigriyo cha,negative
overall experience badhiya thiyo tara bakwas bhayo,negative
malai worker haru ramrari lagena,negative
tyre condition oil change,neutral
tyre condition use garda hawa feel bhayo,negative
brake condition use garda thikkai feel bhayo,neutral
yo mechanic shop dherai genuine lagyo,positive
yo workshop ma smooth cha,positive
"payment system ma bhalo cha, pathetic pani cha",neutral
yo bill ekdam samanya cha,neutral
engine repair ma average experience bhayo,neutral
malai yo servicing center good lagyo,positive
ma yo technician bata kaam bhayo,neutral
YO WORKSHOP FRAUD CHAINA,positive
service time dherai thikkai lagyo,neutral
brake system ko barema man paryo,positive
mero experience use garda rubbish feel bhayo,negative
service cost careless bhaena,positive
waiting time use garda helpful feel bhayo,positive
CAR SERVICING KO BAREMA ORIGINAL PARTS,positive
malai yo servicing center chitto lagyo,positive
yo servicing bakwas thiyo tara sasto bhayo,positive
worker haru ma same issue,negative
ma bike servicing bata problem solve bhayo,positive
Yo place ko quality bharpardo cha,positive
car servicing ko barema raamro bhayo,positive
"Yo mechanic dai ma imandar cha, risaune pani cha",neutral
yo charge use garda honest feel bhayo,positive
malai parts replacement normal lagyo,neutral
engine kaam thik jasto,neutral
tyre condition lastai okay cha,neutral
yo price engine check,neutral
battery service low quality,negative
phone response chor thiyo tara lajawab bhayo,positive
bike servicing ko barema engine bigriyo,negative
waiting time naraamro thiyo tara mitho bhayo,positive
maintenance service kaam adhuro,negative
parts replacement badhiya thiena,negative
YO SERVICING CENTER KO QUALITY SASTO CHA,positive
ma customer service bata duplicate parts,negative
repair cost ramro bhayena,negative
complaint handling ko quality samanya cha,neutral
worker haru ekdam bhorosa cha,positive
"Yo price ma sahayogi cha, luteko pani cha",neutral
engine kaam ekdam average cha,neutral
malai complaint handling jhur lagyo,negative
yo thau naraamro thiyo tara smooth bhayo,positive
bike servicing ma engine check,neutral
repair time ma chitta bujhena,negative
delivery time ko barema man parena,negative
YO PLACE KO BAREMA ENGINE BIGRIYO,negative
brake condition use garda okay feel bhayo,neutral
complaint handling reasonable cha tara bakwas cha,negative
yo spare parts on time,positive
parts quality lastai safa cha,positive
yo price ma worsened experience bhayo,negative
ma bill amount bata problem solve bhayo,positive
ma yo garage bata thik jasto,neutral
staff haru use garda bigreko feel bhayo,negative
engine repair ignored cha tara chitto cha,positive
"mero car condition ma sundar cha, terrible pani cha",neutral
malai yo mechanic dai chor lagena,positive
worker haru galti bhaena,positive
ma yo mechanic dai bata engine check,neutral
replacement parts ekdam rubbish chha,negative
worker haru lastai samanya cha,neutral
staff haru man paryo,positive
yo garage use garda ok feel bhayo,neutral
engine condition kaam sakiyo,neutral
mero car condition ko quality hawa cha,negative
complaint handling lastai excellent cha,positive
yo price lastai cheap cha,positive
overall experience dherai terrible lagyo,negative
billing system pura awful chaina,positive
malai support team okay lagyo,neutral
malai yo auto workshop thikkai lagyo,neutral
malai yo place nice lagena,negative
repair time use garda thikkai feel bhayo,neutral
ma parts replacement bata engine bigriyo,negative
"brake condition lajawab pani cha, phutyo pani chha",neutral
yo mechanic shop bhorosa cha,positive
yo servicing center use garda okay feel bhayo,neutral
waiting time ma low quality,negative
"engine kaam badhiya pani cha, ghatiya pani cha",neutral
yo workshop lastai samanya cha,neutral
ENGINE KAAM MA ORIGINAL PARTS,positive
YO THAU MA KAAM SAKIYO,neutral
delivery time pura reliable chaina,negative
ma billing system bata so so,neutral
yo technician pura santusta chaina,negative
mero car condition bakwas thiyo tara santusta bhayo,positive
malai delivery time okay lagyo,neutral
yo thau lajawab thiyo tara pathetic bhayo,negative
Staff haru bigreko thiena,positive
mero car condition dherai jhanjhat lagyo,negative
Car servicing ekdam prasanna cha,positive
ma yo charge bata ramro bhayo,positive
tyre condition jhyau thiyo tara ramrari bhayo,positive
support team lastai perfect cha,positive
repair cost careless cha,negative
yo mechanic satisfied bhaena,negative
maintenance service original parts,positive
yo servicing thik garena,negative
vehicle performance lastai dhanyabad cha,positive
yo mechanic dai ma worth it,positive
yo servicing thag cha tara bhorosilo cha,positive
billing system ma chitto experience bhayo,positive
tyre condition bigriyo cha tara awesome chha,positive
ENGINE KAAM USE GARDA THIKKAI FEEL BHAYO,neutral
yo mechanic dai thagi thiyo tara durable bhayo,positive
"yo mechanic shop ma ramro cha, jhanjhat pani cha",neutral
"delivery time professional pani cha, nikamma pani cha",neutral
mero experience dherai average lagyo,neutral
worker haru ma thik experience bhayo,neutral
yo servicing center naramro bhaena,positive
yo workshop ekdam mahango cha,negative
Mero bike condition pura bhalo chaina,negative
malai staff haru thikkai lagyo,neutral
brake system ko quality reliable cha,positive
malai vehicle performance overpriced lagena,positive
yo mechanic majja thiyo tara kharab bhayo,negative
service time so so,neutral
malai staff haru affordable lagena,negative
waiting time oil change,neutral
service cost naraamro thiena,positive
VEHICLE PERFORMANCE KO BAREMA SATISFIED CHAINA,negative
yo bill feri aauchu,positive
yo charge ko quality babbal cha,positive
Yo place jhyau thiyo tara professional bhayo,positive
engine kaam naraamro thiyo tara happy bhayo,positive
ma battery service bata damage bhayo,negative
yo spare parts ekdam thikai cha,neutral
bill amount service bhayo,neutral
malai yo servicing center prasanna lagena,negative
payment system affordable thiyo tara naramro bhayo,negative
waiting time affordable cha tara bakbas cha,negative
waiting time ma ok experience bhayo,neutral
yo garage ko barema oil change,neutral
yo place pura nikamma chaina,positive
yo spare parts ali thik,neutral
support team ma thag experience bhayo,negative
yo workshop okay cha,neutral
engine condition use garda majja feel bhayo,positive
complaint handling prasanna chaina,negative
yo technician lastai okay cha,neutral
yo bill dherai angry lagyo,negative
maintenance service ko quality normal cha,neutral
yo mechanic dai thikai cha,neutral
ma yo price bata ramro lagena,negative
phone response lastai thikai cha,neutral
phone response dherai dhila lagyo,negative
yo mechanic use garda sifaris feel bhayo,positive
yo auto workshop slow chaina,positive
bill amount use garda thikkai feel bhayo,neutral
yo repair service ma duplicate parts,negative
repair cost duplicate cha tara gajjab cha,positive
payment system use garda unprofessional feel bhayo,negative
MALAI ENGINE REPAIR OK LAGYO,neutral
"engine kaam ma honest cha, rubbish pani cha",neutral
malai car servicing happy lagena,negative
bill amount dherai sasto lagyo,positive
yo mechanic dai ma top quality,positive
bike servicing worst thiyo tara sasto bhayo,positive
YO PRICE PROFESSIONAL THIYO TARA FRUSTRATED BHAYO,negative
ma repair cost bata thik garena,negative
yo mechanic shop useless cha tara ramro cha,positive
brake system pura rude chaina,positive
worker haru mitho chaina,negative
malai payment system raamro lagyo,positive
"yo charge ma perfect cha, delay pani cha",neutral
malai vehicle performance normal lagyo,neutral
mero experience angry thiyo tara reasonable bhayo,positive
waiting time problem solve bhayo,positive
service time babbal bhaena,negative
waiting time professional thiena,negative
Yo servicing center jhur thiena,positive
support team asal chaina,negative
"vehicle performance ma durable cha, jhanjhat pani cha",neutral
Yo mechanic ko quality thikkai cha,neutral
complaint handling thikai chha,neutral
Waiting time ma samanya experience bhayo,neutral
brake system dherai excellent lagyo,positive
